DATE,close,monthly_retail
2/1/1993,329.75,156266.00
3/1/1993,328.5,154752.00
2/1/1994,381.65,169649.00
3/1/1994,381.3,172766.00
2/1/1995,376.25,179488.00
3/1/1995,375.7,181013.00
2/1/1996,409.1,192266.00
3/1/1996,398.35,194029.00
2/1/1997,344.3,204286.00
3/1/1997,362.15,204990.00
2/1/1998,301.5,209552.00
3/1/1998,298.35,210832.00
2/1/1999,286.9,226250.00
3/1/1999,286.7,227417.00
2/1/2000,283,247133.00
3/1/2000,292.9,249825.00
2/1/2001,267.65,252704.00
3/1/2001,266.35,250328.00
2/1/2002,283.9,257670.00
3/1/2002,295.4,257059.00
2/1/2003,369.5,263188.00
3/1/2003,345.5,267820.00
2/1/2004,398.35,280932.00
3/1/2004,400,286209.00
2/1/2005,420.9,300557.00
3/1/2005,433.45,301308.00
2/1/2006,568.25,320171.00
3/1/2006,564.25,320869.00
2/1/2007,660.2,327953.00
3/1/2007,670.4,330579.00
2/1/2008,914.75,334584.00
3/1/2008,988.5,335193.00
2/1/2009,918.25,297631.00
3/1/2009,937.25,292300.00
2/1/2010,1086.5,308520.00
3/1/2010,1114,316269.00
2/1/2011,1331.5,334674.00
3/1/2011,1420.75,337935.00
2/1/2012,1740,357233.00
3/1/2012,1714,358862.00
2/1/2013,1669,372389.00
3/1/2013,1582.25,369175.00
2/1/2014,1262,378256.00
3/1/2014,1349.5,382077.00
2/1/2015,1272.5,384793.00
3/1/2015,1212.5,390948.00
2/1/2016,1126.5,398293.00
3/1/2016,1236.5,397196.00
2/1/2017,1203.65,416224.00
3/1/2017,1240.4,415464.00
2/1/2018,1341.35,435033.00
3/1/2018,1307.75,434510.00
2/1/2019,1287.2,442467.00
3/1/2019,1291.92,449925.00
