DATE,Consumer_debt_service,Pct_chng_prv_yr,GDPC1
1/1/1992,4.867179,2.9,9534.346
2/1/1992,,,
3/1/1992,,,
4/1/1992,4.774439,3.2,9637.732
5/1/1992,,,
6/1/1992,,,
7/1/1992,4.702399,3.7,9732.979
8/1/1992,,,
9/1/1992,,,
10/1/1992,4.660212,4.4,9834.51
11/1/1992,,,
12/1/1992,,,
1/1/1993,4.652557,3.3,9850.973
2/1/1993,,,
3/1/1993,,,
4/1/1993,4.648903,2.8,9908.347
5/1/1993,,,
6/1/1993,,,
7/1/1993,4.705303,2.3,9955.641
8/1/1993,,,
9/1/1993,,,
10/1/1993,4.755414,2.6,10091.049
11/1/1993,,,
12/1/1993,,,
1/1/1994,4.831917,3.4,10188.954
2/1/1994,,,
3/1/1994,,,
4/1/1994,4.924236,4.2,10327.019
5/1/1994,,,
6/1/1994,,,
7/1/1994,5.035871,4.3,10387.382
8/1/1994,,,
9/1/1994,,,
10/1/1994,5.120072,4.1,10506.372
11/1/1994,,,
12/1/1994,,,
1/1/1995,5.248012,3.5,10543.644
2/1/1995,,,
3/1/1995,,,
4/1/1995,5.394652,2.4,10575.1
5/1/1995,,,
6/1/1995,,,
7/1/1995,5.523088,2.7,10665.06
8/1/1995,,,
9/1/1995,,,
10/1/1995,5.594352,2.2,10737.478
11/1/1995,,,
12/1/1995,,,
1/1/1996,5.653204,2.6,10817.896
2/1/1996,,,
3/1/1996,,,
4/1/1996,5.675422,4,10998.322
5/1/1996,,,
6/1/1996,,,
7/1/1996,5.712678,4.1,11096.976
8/1/1996,,,
9/1/1996,,,
10/1/1996,5.777011,4.4,11212.205
11/1/1996,,,
12/1/1996,,,
1/1/1997,5.725713,4.3,11284.587
2/1/1997,,,
3/1/1997,,,
4/1/1997,5.703414,4.3,11472.137
5/1/1997,,,
6/1/1997,,,
7/1/1997,5.718448,4.7,11615.636
8/1/1997,,,
9/1/1997,,,
10/1/1997,5.705666,4.5,11715.393
11/1/1997,,,
12/1/1997,,,
1/1/1998,5.62861,4.9,11832.486
2/1/1998,,,
3/1/1998,,,
4/1/1998,5.672466,4.1,11942.032
5/1/1998,,,
6/1/1998,,,
7/1/1998,5.687028,4.1,12091.614
8/1/1998,,,
9/1/1998,,,
10/1/1998,5.761093,4.9,12287
11/1/1998,,,
12/1/1998,,,
1/1/1999,5.806999,4.8,12403.293
2/1/1999,,,
3/1/1999,,,
4/1/1999,5.908707,4.7,12498.694
5/1/1999,,,
6/1/1999,,,
7/1/1999,5.984194,4.7,12662.385
8/1/1999,,,
9/1/1999,,,
10/1/1999,5.95983,4.8,12877.593
11/1/1999,,,
12/1/1999,,,
1/1/2000,5.937885,4.2,12924.179
2/1/2000,,,
3/1/2000,,,
4/1/2000,6.043636,5.3,13160.842
5/1/2000,,,
6/1/2000,,,
7/1/2000,6.177682,4.1,13178.419
8/1/2000,,,
9/1/2000,,,
10/1/2000,6.341266,3,13260.506
11/1/2000,,,
12/1/2000,,,
1/1/2001,6.447079,2.3,13222.69
2/1/2001,,,
3/1/2001,,,
4/1/2001,6.594093,1.1,13299.984
5/1/2001,,,
6/1/2001,,,
7/1/2001,6.560403,0.5,13244.784
8/1/2001,,,
9/1/2001,,,
10/1/2001,6.712248,0.2,13280.859
11/1/2001,,,
12/1/2001,,,
1/1/2002,6.616872,1.3,13397.002
2/1/2002,,,
3/1/2002,,,
4/1/2002,6.56623,1.3,13478.152
5/1/2002,,,
6/1/2002,,,
7/1/2002,6.559268,2.2,13538.072
8/1/2002,,,
9/1/2002,,,
10/1/2002,6.502536,2.1,13559.032
11/1/2002,,,
12/1/2002,,,
1/1/2003,6.47563,1.8,13634.253
2/1/2003,,,
3/1/2003,,,
4/1/2003,6.439334,2,13751.543
5/1/2003,,,
6/1/2003,,,
7/1/2003,6.356244,3.3,13985.073
8/1/2003,,,
9/1/2003,,,
10/1/2003,6.371153,4.3,14145.645
11/1/2003,,,
12/1/2003,,,
1/1/2004,6.363538,4.3,14221.147
2/1/2004,,,
3/1/2004,,,
4/1/2004,6.293786,4.2,14329.523
5/1/2004,,,
6/1/2004,,,
7/1/2004,6.315101,3.4,14464.984
8/1/2004,,,
9/1/2004,,,
10/1/2004,6.237751,3.3,14609.876
11/1/2004,,,
12/1/2004,,,
1/1/2005,6.31672,3.9,14771.602
2/1/2005,,,
3/1/2005,,,
4/1/2005,6.266759,3.6,14839.782
5/1/2005,,,
6/1/2005,,,
7/1/2005,6.199887,3.5,14972.054
8/1/2005,,,
9/1/2005,,,
10/1/2005,6.10349,3.1,15066.597
11/1/2005,,,
12/1/2005,,,
1/1/2006,6.085338,3.4,15267.026
2/1/2006,,,
3/1/2006,,,
4/1/2006,5.979546,3.1,15302.705
5/1/2006,,,
6/1/2006,,,
7/1/2006,5.934614,2.4,15326.368
8/1/2006,,,
9/1/2006,,,
10/1/2006,5.919763,2.6,15456.928
11/1/2006,,,
12/1/2006,,,
1/1/2007,5.904845,1.5,15493.328
2/1/2007,,,
3/1/2007,,,
4/1/2007,5.935682,1.8,15582.085
5/1/2007,,,
6/1/2007,,,
7/1/2007,5.976007,2.2,15666.738
8/1/2007,,,
9/1/2007,,,
10/1/2007,6.00891,2,15761.967
11/1/2007,,,
12/1/2007,,,
1/1/2008,5.999377,1.1,15671.383
2/1/2008,,,
3/1/2008,,,
4/1/2008,5.845244,1.1,15752.308
5/1/2008,,,
6/1/2008,,,
7/1/2008,5.883152,0,15667.032
8/1/2008,,,
9/1/2008,,,
10/1/2008,5.86467,-2.8,15328.027
11/1/2008,,,
12/1/2008,,,
1/1/2009,5.82438,-3.3,15155.94
2/1/2009,,,
3/1/2009,,,
4/1/2009,5.630329,-3.9,15134.117
5/1/2009,,,
6/1/2009,,,
7/1/2009,5.574551,-3,15189.222
8/1/2009,,,
9/1/2009,,,
10/1/2009,5.417978,0.2,15356.058
11/1/2009,,,
12/1/2009,,,
1/1/2010,5.304477,1.7,15415.145
2/1/2010,,,
3/1/2010,,,
4/1/2010,5.139247,2.8,15557.277
5/1/2010,,,
6/1/2010,,,
7/1/2010,5.038337,3.2,15671.967
8/1/2010,,,
9/1/2010,,,
10/1/2010,5.027983,2.6,15750.625
11/1/2010,,,
12/1/2010,,,
1/1/2011,5.061776,1.9,15712.754
2/1/2011,,,
3/1/2011,,,
4/1/2011,5.04558,1.7,15825.096
5/1/2011,,,
6/1/2011,,,
7/1/2011,5.015766,0.9,15820.7
8/1/2011,,,
9/1/2011,,,
10/1/2011,5.013645,1.6,16004.107
11/1/2011,,,
12/1/2011,,,
1/1/2012,4.927077,2.7,16129.418
2/1/2012,,,
3/1/2012,,,
4/1/2012,4.909409,2.4,16198.807
5/1/2012,,,
6/1/2012,,,
7/1/2012,4.986934,2.5,16220.667
8/1/2012,,,
9/1/2012,,,
10/1/2012,4.877597,1.5,16239.138
11/1/2012,,,
12/1/2012,,,
1/1/2013,5.136006,1.6,16382.964
2/1/2013,,,
3/1/2013,,,
4/1/2013,5.157126,1.3,16403.18
5/1/2013,,,
6/1/2013,,,
7/1/2013,5.177715,1.9,16531.685
8/1/2013,,,
9/1/2013,,,
10/1/2013,5.210367,2.6,16663.649
11/1/2013,,,
12/1/2013,,,
1/1/2014,5.211632,1.4,16616.54
2/1/2014,,,
3/1/2014,,,
4/1/2014,5.228676,2.7,16841.475
5/1/2014,,,
6/1/2014,,,
7/1/2014,5.258522,3.1,17047.098
8/1/2014,,,
9/1/2014,,,
10/1/2014,5.296709,2.9,17143.038
11/1/2014,,,
12/1/2014,,,
1/1/2015,5.315874,4.1,17305.752
2/1/2015,,,
3/1/2015,,,
4/1/2015,5.389657,3.5,17422.845
5/1/2015,,,
6/1/2015,,,
7/1/2015,5.462385,2.6,17486.021
8/1/2015,,,
9/1/2015,,,
10/1/2015,5.399252,2.2,17514.062
11/1/2015,,,
12/1/2015,,,
1/1/2016,5.386807,1.8,17613.264
2/1/2016,,,
3/1/2016,,,
4/1/2016,5.478076,1.4,17668.203
5/1/2016,,,
6/1/2016,,,
7/1/2016,5.552613,1.6,17764.388
8/1/2016,,,
9/1/2016,,,
10/1/2016,5.59175,2.1,17876.179
11/1/2016,,,
12/1/2016,,,
1/1/2017,5.573853,2.1,17977.299
2/1/2017,,,
3/1/2017,,,
4/1/2017,5.56875,2.2,18054.052
5/1/2017,,,
6/1/2017,,,
7/1/2017,5.565693,2.4,18185.636
8/1/2017,,,
9/1/2017,,,
10/1/2017,5.576678,2.7,18359.432
11/1/2017,,,
12/1/2017,,,
1/1/2018,5.522311,3.1,18530.483
2/1/2018,,,
3/1/2018,,,
4/1/2018,5.488415,3.3,18654.383
5/1/2018,,,
6/1/2018,,,
7/1/2018,5.50347,3.1,18752.355
8/1/2018,,,
9/1/2018,,,
10/1/2018,5.52013,2.5,18813.923
11/1/2018,,,
12/1/2018,,,
1/1/2019,5.531891,2.3,18950.347
2/1/2019,,,
3/1/2019,,,
4/1/2019,5.580188,2,19020.599
5/1/2019,,,
6/1/2019,,,
7/1/2019,5.597518,2.1,19141.744
8/1/2019,,,
9/1/2019,,,
10/1/2019,5.614131,2.3,19253.959
11/1/2019,,,
12/1/2019,,,
1/1/2020,5.573004,0.3,19010.848
2/1/2020,,,
3/1/2020,,,
4/1/2020,4.972469,-9,17302.511
